SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AVG_NOTE
149005,False,Cash loans,F,N,Y,0,157500.0,942300.0,27679.5,675000.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.022625,-21403,-3055,-8420.0,-4550,,True,True,True,True,True,False,,1.0,2,2,TUESDAY,16,False,False,False,False,False,False,Housing,,0.7802801224805435,0.4614823912998385,0.0825,0.1025,0.9886,0.8436,0.1435,0.0,0.1379,0.1667,0.2083,0.0686,0.0672,0.0515,0.0,0.1744,0.084,0.1063,0.9886,0.8497,0.1448,0.0,0.1379,0.1667,0.2083,0.0702,0.0735,0.0537,0.0,0.1846,0.0833,0.1025,0.9886,0.8457,0.1444,0.0,0.1379,0.1667,0.2083,0.0698,0.0684,0.0525,0.0,0.1781,reg oper account,block of flats,0.0784,Panel,No,8.0,0.0,8.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.6208812568901909
296767,True,Cash loans,M,N,Y,0,234000.0,305640.0,30226.5,270000.0,Family,Pensioner,Higher education,Married,House / apartment,0.010006,-23584,365243,-6928.0,-4750,,True,False,False,True,True,False,,2.0,2,2,SUNDAY,10,False,False,False,False,False,False,XNA,,0.5803141738042202,0.511891801533151,0.0309,0.029,0.9901,0.8640000000000001,0.0052,0.0,0.069,0.1667,0.2083,0.0067,0.0252,0.0292,0.0,0.0,0.0315,0.0301,0.9901,0.8693,0.0052,0.0,0.069,0.1667,0.2083,0.0068,0.0275,0.0304,0.0,0.0,0.0312,0.029,0.9901,0.8658,0.0052,0.0,0.069,0.1667,0.2083,0.0068,0.0257,0.0297,0.0,0.0,reg oper account,block of flats,0.0258,Panel,No,3.0,0.0,3.0,0.0,-1259.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,2.0,0.5461029876686856
213484,True,Cash loans,F,N,N,0,225000.0,521280.0,35262.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.032561,-16874,-6995,-10676.0,-432,,True,True,False,True,True,False,Core staff,2.0,1,1,MONDAY,10,False,False,False,False,False,False,Business Entity Type 1,,0.7306996497916017,0.4920600938649263,0.2546,0.1703,0.9796,0.7212,0.3775,0.26,0.3621,0.3333,0.0417,0.1115,0.2013,0.2223,0.029,0.0609,0.083,0.0506,0.9742,0.6602,0.1017,0.0,0.1379,0.1667,0.0417,0.0266,0.0725,0.0717,0.0,0.0048,0.2571,0.1703,0.9796,0.7249,0.3799,0.26,0.3621,0.3333,0.0417,0.1134,0.2048,0.2263,0.0291,0.0621,reg oper spec account,block of flats,0.3576,"Stone, brick",No,0.0,0.0,0.0,0.0,-1923.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.611379871828264
157577,True,Cash loans,M,Y,N,0,157500.0,299772.0,23683.5,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003813,-19442,-1061,-5085.0,-2989,8.0,True,True,True,True,False,False,Drivers,2.0,2,2,WEDNESDAY,7,False,True,True,False,True,True,Industry: type 9,,0.2306208653339732,0.501075160239048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,7.0,4.0,-2212.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.3658480127865106
256070,False,Cash loans,F,N,Y,0,54000.0,284400.0,16456.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.014464,-22104,365243,-1929.0,-4871,,True,False,False,True,False,False,,2.0,2,2,MONDAY,5,False,False,False,False,False,False,XNA,,0.6609221093164391,0.2301588968634147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-232.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.44554050308992693
346922,True,Cash loans,F,N,Y,0,99000.0,314055.0,19107.0,238500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.02461,-21793,365243,-9612.0,-4537,,True,False,False,True,True,False,,1.0,2,2,WEDNESDAY,13,False,False,False,False,False,False,XNA,0.4023760657686841,0.696866155699312,0.6863823354047934,0.1031,0.0942,0.9767,0.6804,0.0114,0.0,0.2069,0.1667,0.2083,0.0,0.0832,0.0906,0.0039,0.0028,0.105,0.0977,0.9767,0.6929,0.0115,0.0,0.2069,0.1667,0.2083,0.0,0.0909,0.0944,0.0039,0.003,0.1041,0.0942,0.9767,0.6847,0.0115,0.0,0.2069,0.1667,0.2083,0.0,0.0847,0.0923,0.0039,0.0029,reg oper account,block of flats,0.0719,"Stone, brick",No,4.0,1.0,4.0,1.0,-287.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,3.0,0.5952081856242631
129052,False,Cash loans,F,N,Y,2,157500.0,558841.5,26883.0,499500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.04622,-12135,-1216,-7.0,-766,,True,True,False,True,False,False,High skill tech staff,4.0,1,1,THURSDAY,12,False,False,False,False,True,True,Business Entity Type 1,0.2848938226790111,0.4901463467229177,0.2707073872651806,0.0825,0.0706,0.9757,0.6668,0.0142,0.0,0.1379,0.1667,0.2083,0.0,,0.0674,,0.0,0.084,0.0732,0.9757,0.6798,0.0143,0.0,0.1379,0.1667,0.2083,0.0,,0.0703,,0.0,0.0833,0.0706,0.9757,0.6713,0.0143,0.0,0.1379,0.1667,0.2083,0.0,,0.0686,,0.0,,block of flats,0.0608,"Stone, brick",No,2.0,0.0,2.0,0.0,-662.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,2.0,0.3485825188890364
386922,True,Cash loans,M,Y,N,0,202500.0,500211.0,48861.0,463500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.018801,-15792,-422,-7722.0,-4443,14.0,True,True,False,True,False,False,Drivers,1.0,2,2,TUESDAY,6,False,False,False,False,False,False,Business Entity Type 3,0.1803398335802952,0.4549731065005426,0.5849900404894085,0.1485,0.1115,0.9801,0.728,0.0725,0.16,0.1379,0.3333,0.375,0.0833,0.121,0.1481,0.0,0.0,0.1513,0.1158,0.9801,0.7387,0.0731,0.1611,0.1379,0.3333,0.375,0.0852,0.1322,0.1543,0.0,0.0,0.1499,0.1115,0.9801,0.7316,0.0729,0.16,0.1379,0.3333,0.375,0.0848,0.1231,0.1508,0.0,0.0,reg oper spec account,block of flats,0.1561,Panel,No,1.0,0.0,1.0,0.0,-410.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,2.0,1.0,0.4067676601900821
219752,False,Revolving loans,M,Y,Y,2,360000.0,900000.0,45000.0,900000.0,Family,Commercial associate,Incomplete higher,Married,House / apartment,0.010276,-15347,-796,-3000.0,-3978,10.0,True,True,False,True,False,False,High skill tech staff,4.0,2,2,SATURDAY,11,False,True,True,False,False,False,Telecom,,0.4739102402545289,0.7407990879702335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1381.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.6073546641123813
130750,False,Cash loans,M,N,Y,0,135000.0,444420.0,19705.5,337500.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.022625,-12098,-3372,-4296.0,-3,,True,True,False,True,False,False,Laborers,1.0,2,2,MONDAY,12,False,False,False,False,False,False,Telecom,0.3468677898650112,0.5983851417779454,0.646329897706246,0.1093,0.0285,0.9732,,,0.0,0.069,0.125,,0.0585,,0.0443,,0.2604,0.1113,0.0296,0.9732,,,0.0,0.069,0.125,,0.0599,,0.0461,,0.2756,0.1103,0.0285,0.9732,,,0.0,0.069,0.125,,0.0595,,0.0451,,0.2658,,specific housing,0.0586,"Stone, brick",No,1.0,0.0,1.0,0.0,-957.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.5305276097830676
